intent,english
inform_payment_delay_reason,There was a family emergency.
inform_payment_delay_reason,I had a few additional expenses this time
inform_payment_delay_reason,I'm suffering losses in my business
inform_payment_delay_reason,you didn't tell me when the payment was due
inform_payment_delay_reason,I have changed my bank recently. So account activation will take some time
inform_payment_delay_reason,I lost my job recently
inform_payment_delay_reason,I'm not well right now
inform_payment_delay_reason,I don't have enough money to pay the installment
inform_payment_delay_reason,I had met with an accident
inform_payment_delay_reason,I am out of work and hence limited cashflow.
inform_payment_delay_reason,It completely slipped my mind.I'll do it soon
inform_payment_delay_reason,i thought i paid my last installment
inform_payment_delay_reason,i'm going through some financial problems
inform_payment_delay_reason,there was an expected emergency so i'm short on money right now
inform_payment_delay_reason,i'm in a very low network area currently
inform_payment_delay_reason,i don't have a job anymore
inform_payment_delay_reason,"I was sick and couldnt work ,so i didnt get enough salary this month"
inform_payment_delay_reason,There was a medical emergency in my family for which I had to spend a lot of money
inform_payment_delay_reason,"i made another investment this month , hence low on liquidity"
inform_payment_delay_reason,my business didn't make enough profits this month
inform_payment_delay_reason,couldnt arrange sufficient funds this time
inform_payment_delay_reason,i have blocked my account due to suspected fraud.activation of new account is taking time
inform_payment_delay_reason,i did not get any reminder for emi payment this month
inform_payment_delay_reason,i don't have the funds at the moment
inform_payment_delay_reason,i was on a business trip
inform_payment_delay_reason,I have some financial problems right now
inform_payment_delay_reason,salary for this month hasn't been given yet
inform_payment_delay_reason,Due to my salary delay I cannot pay now will pay later
inform_payment_delay_reason,Iam out of country I will pay once Iam back
inform_payment_delay_reason,Actually I lost Job so pay payment will be delayed
inform_payment_delay_reason,I am facing problems in business this time emi will be payed later
inform_payment_delay_reason,I had medical emergencies so will repay emi later
inform_payment_delay_reason,I am facing business downturn due to low sales so will pay later
inform_payment_delay_reason,Actually cannot pay this time due to finanical difficulty
inform_payment_delay_reason,My accounting practices has become mess causing delayed payments
inform_payment_delay_reason,I will pay later due to loss of job
inform_payment_delay_reason,I am running low in revenue due to economic crisis so will pay later
inform_payment_delay_reason,I have health issues so payment will be done later
inform_payment_delay_reason,Financially I'm not doing well so I'll do the payment later
inform_payment_delay_reason,I'm having family issues so payment will be delayed
inform_payment_delay_reason,I will pay later because I have not got the salary yet
inform_payment_delay_reason,I will  be paying later because something is wrong with my accounting
inform_payment_delay_reason,Will be making the payment later because I'm out os station
inform_payment_delay_reason,Due to economic breakdown I have lost job so I will make payment later
inform_payment_delay_reason,"My net banking is locked, will make the payment when net banking will work"
inform_payment_delay_reason,My card got blocked due to incorrect pin. So will make payment later
inform_payment_delay_reason,I have lost money due to sending to incorrect account. I'll make the payment later
inform_payment_delay_reason,Due to loss of job I will pay EMI later
inform_payment_delay_reason,I had assumed that Payment has been done already
inform_payment_delay_reason,I have limited cash due to more expenses
inform_payment_delay_reason,I'm onto changing the job so will make the payment after joining
inform_payment_delay_reason,I was not well and having lot of medical expenses
inform_payment_delay_reason,My auto debit is not working. So will make payment in sometime
inform_payment_delay_reason,I thought it is debit automatically from salary account
inform_payment_delay_reason,Did not get reminder of payment due
inform_payment_delay_reason,I'm out for some emrgency. Will make the payment once I'm back.
inform_payment_delay_reason,I'm facing financial crisis so will be making payments once I'm sorted with that.
inform_payment_delay_reason,Link got deleted and Couldn't reach you out.
inform_dont_have_sms,No message received
inform_dont_have_sms,I have not got a message 
inform_dont_have_sms,i can't find the message.Can you re-send it?
inform_dont_have_sms,I didnt get any message
inform_dont_have_sms,I dont have the sms
inform_dont_have_sms,No message found.
inform_dont_have_sms,no message was delivered to me
inform_dont_have_sms,I did not receive any message
inform_dont_have_sms,there is no such message with me
inform_dont_have_sms,you didn't send me the message ?
inform_dont_have_sms,"no,i didn't get any message"
inform_dont_have_sms,i wasn't provided with the message
inform_dont_have_sms,send the sms again
inform_dont_have_sms,share the message again. I lost the previous one.
inform_dont_have_sms,i don't have the message.
inform_dont_have_sms,"nope, no sms."
inform_dont_have_sms,i did not get your message.
inform_dont_have_sms,I have not got a single text from you so far
inform_dont_have_sms,I deleted the message by mistake.please re send it
inform_dont_have_sms,i didn't find the message
inform_dont_have_sms,i didnt get your sms
inform_dont_have_sms,I cannot find the message
inform_dont_have_sms,I am unable to find the message
inform_dont_have_sms,Need the message. I don't have it
inform_dont_have_sms,I searched for the message.Didn't find it
inform_dont_have_sms,Don't have the sms
inform_dont_have_sms,Did not recieve any sms regarding the payment
inform_dont_have_sms,I was not notified with any payment messages
inform_dont_have_sms,I did not get any sms on payment updates
inform_dont_have_sms,Not finding any sms on the payment
inform_dont_have_sms,I have not got any sms on that
inform_dont_have_sms,No sms was delivered to me on payment
inform_dont_have_sms,Couldn't find any sms about the payment
inform_dont_have_sms,There is no such sms in my inbox
inform_dont_have_sms,sms got deleted by mistake. Please resend
inform_dont_have_sms,I have been waiting for update I have not got any notification on that
inform_dont_have_sms,I haven't recieved any sms yet
inform_dont_have_sms,Did you notify me with the sms?
inform_dont_have_sms,I searched the Inbox no sms  was recieved
inform_dont_have_sms,Are you sure u have sent me the sms
inform_dont_have_sms,Don't knw why payment sms in not displaying in my Inbox
inform_dont_have_sms,Searching the sms but not able to find them
inform_dont_have_sms,I don't have any sms from your side
inform_dont_have_sms,I'm not finding the sms please resend them
inform_dont_have_sms,No sms was recieved please do send it again
inform_dont_have_sms,I haven't a clue about the sms
inform_dont_have_sms,I have no clue about the sms being recieved
inform_dont_have_sms,I did not find the sms. Will double check Inbox once.
inform_dont_have_sms,I was not left with any sms on the payment
inform_dont_have_sms,I'm sure I did not get any sms from you side
inform_dont_have_sms,Please resend I'm not finding the sms
inform_dont_have_sms,I haven't recieved any payment sms from you
inform_dont_have_sms,I haven't noticed any sms about the payment
inform_dont_have_sms,Not been shared with any sms
inform_dont_have_sms,I did not discover any sms from you
inform_dont_have_sms,I did not see any sms on payment
inform_dont_have_sms,I did not come across any sms  on payment
inform_dont_have_payment_link, I have not received the payment link yet
inform_dont_have_payment_link,I don't have the payment link
inform_dont_have_payment_link,Didnt get any message with the payment link
inform_dont_have_payment_link,share the payment link please
inform_dont_have_payment_link,can you help me with the payment link ?
inform_dont_have_payment_link,no payment link received
inform_dont_have_payment_link,i have not got the payment link
inform_dont_have_payment_link,no i don't have the link
inform_dont_have_payment_link,can't find the link. please send it again
inform_dont_have_payment_link,this link has expired.send updated link
inform_dont_have_payment_link,i didn't get the payment link
inform_dont_have_payment_link,"no,i don't have the payment link with me"
inform_dont_have_payment_link,no payment link found
inform_dont_have_payment_link,share new link.old link is not working
inform_dont_have_payment_link,wasn't provided with the payment link
inform_dont_have_payment_link,i did not get any link
inform_dont_have_payment_link,I cannot find the link
inform_dont_have_payment_link,link not found anywhere
inform_dont_have_payment_link,payment link not received
inform_dont_have_payment_link,not got link for payment
inform_dont_have_payment_link,this is to inform you that I have not received payment link 
inform_dont_have_payment_link,payment link is not there
inform_dont_have_payment_link,no payment link with me
inform_dont_have_payment_link,looked for the link. I can't find it
inform_dont_have_payment_link,dont have the link
inform_dont_have_payment_link,there is no link with me
inform_dont_have_payment_link,no payment link
inform_dont_have_payment_link,payment link is absent
inform_dont_have_payment_link,no link to make payment
inform_dont_have_payment_link,unable to find link
inform_dont_have_payment_link,Not finding payment link
inform_dont_have_payment_link,I dont have payment link
inform_dont_have_payment_link,Resend the payment link
inform_dont_have_payment_link,Reshare the payment link
inform_dont_have_payment_link,I did not get payment link
inform_dont_have_payment_link,message of payment link got deleted
inform_dont_have_payment_link,Can you send the payment link again
inform_dont_have_payment_link,Share the link again
inform_dont_have_payment_link,Lost the shared payment link
inform_dont_have_payment_link,I have not recieved any payment link
inform_dont_have_payment_link,Give me the link again
inform_dont_have_payment_link,Can you ping me with the payment link
inform_dont_have_payment_link,I'm not having the new payment link. so share me again with the link
inform_dont_have_payment_link,Old link is not working. I need new link
inform_dont_have_payment_link,Not able to find the link at all
inform_dont_have_payment_link,I did not find the email of the link
inform_dont_have_payment_link,Provide me the link to my number
inform_dont_have_payment_link,Redirect me with the link again
inform_dont_have_payment_link,Send me the new link
inform_dont_have_payment_link,I will send you the alternate number send link to that number
inform_dont_have_payment_link,I would like to inform you that I did not get the link
inform_dont_have_payment_link,Send me the link and notify me
inform_dont_have_payment_link,Can u just update me with the new link
inform_dont_have_payment_link,let me know after sending the new link
inform_dont_have_payment_link,Previous email id is blocked so send link to the new one which I provide
inform_dont_have_payment_link,Due to network issue I have not got the link at all.
inform_dont_have_payment_link,Please resend the link to my mail.
inform_dont_have_payment_link,Do share the link to the alternative number
inform_dont_have_payment_link,Will you update me with the new link now
inform_payment_done,Payment done succesfully
inform_payment_done,payment completed
inform_payment_done,I have paid the installment
inform_payment_done,Made the payment.Have you received it?
inform_payment_done,done with the payment of this month
inform_payment_done,Payment done.
inform_payment_done,i have done the payment
inform_payment_done,i paid the emi for this month
inform_payment_done,payment for this month has been completed
inform_payment_done,would like to inform you that i have paid the emi for this month
inform_payment_done,emi for this month has been transfered
inform_payment_done,installment for this month has been credited to you
inform_payment_done,can you confirm the receipt of the installment
inform_payment_done,transferred my EMI for this month
inform_payment_done,i have successfully done the payment
inform_payment_done,paid the necessary amount
inform_payment_done,Paid the EMI.
inform_payment_done,done the payment.please check
inform_payment_done,installment paid
inform_payment_done,EMI for this month has been paid
inform_payment_done,loan amount paid for this month
inform_payment_done,installment payment for this month is done
inform_payment_done,required amount has been paid.please confirm the payment
inform_payment_done,payment of this month's EMI is done
inform_payment_done,paid insallment of this month
inform_payment_done,payment has been done
inform_payment_done,completed the payment of this month
inform_payment_done,this is to inform you that i have paid the emi for this month.Please acknowledge
inform_payment_done,EMI payment is done
inform_payment_done,hope you have received EMI for this month
inform_payment_done,I have done the payment
inform_payment_done,I have paid the EMI
inform_payment_done,Successfuly done with the payment
inform_payment_done,I have finished paying EMI 
inform_payment_done,I have completed the EMI payment for this month
inform_payment_done,I'm done with this month installment
inform_payment_done,This to confirm you that payment is done
inform_payment_done,I would like to confirm that payment has been made
inform_payment_done,I have made the payment for this month
inform_payment_done,I had already made the payment
inform_payment_done,Payment is already auto-debited
inform_payment_done,I would like to tell you that payment is already debited
inform_payment_done,Payment for this month is done now
inform_payment_done,Would like to confirm that I have paid the EMI
inform_payment_done,I have transferred the EMI amount
inform_payment_done,I'm done with payment transfers
inform_payment_done,This month has been done
inform_payment_done,I have cleared this month's EMI
inform_payment_done,Payment has been cleared
inform_payment_done,I would like to inform you that I have cleared the payment
inform_payment_done,I would like to confirm you about the payment
inform_payment_done,I like to inform you about this month's payment clearance
inform_payment_done,I have done this month's payment. Have you recieved
inform_payment_done,Just now cleared the payment. Did you recieve?
inform_payment_done,I have finished with payment Can you confirm me on the same
inform_payment_done,Already Payment is cleared
inform_pay_with_other_method,can I pay with a cheque?
inform_pay_with_other_method,can i do a NEFT?
inform_pay_with_other_method,i will pay using Gpay 
inform_pay_with_other_method,can I pay using some other payment method?
inform_pay_with_other_method,is there any other option to make the payment
inform_pay_with_other_method,i'm paying in cash 
inform_pay_with_other_method,will pay from PAYTM
inform_pay_with_other_method,i'm paying using phonepay upi
inform_pay_with_other_method,i'll come to the bank and swipe my card
inform_pay_with_other_method,i will submit a demand draft
inform_pay_with_other_method,I will pay using some other method
inform_pay_with_other_method,i would like to pay using paytm
inform_pay_with_other_method,paying via a cheque
inform_pay_with_other_method,using google pay to pay the money
inform_pay_with_other_method,will make payment using PAYTM
inform_pay_with_other_method,I will pay the EMI using my UPI 
inform_pay_with_other_method,will use PAYTM to make the payment
inform_pay_with_other_method,going to pay via google pay
inform_pay_with_other_method,making payment from my credit card
inform_pay_with_other_method,using paytm to pay the EMI
inform_pay_with_other_method,i would like to pay using google pay
inform_pay_with_other_method,I'll pay the installment in cash
inform_pay_with_other_method,I'd like to pay with my paytm wallet
inform_pay_with_other_method,i'd like to do a bank transfer
inform_pay_with_other_method,I want to pay using google pay
inform_pay_with_other_method,I will make the payment with a cheque
inform_pay_with_other_method,Will pay through net banking
inform_pay_with_other_method,Will make transaction from phonePay
inform_pay_with_other_method,Okay! will pay through UPI Id
inform_pay_with_other_method,I will be paying through googlePay
inform_pay_with_other_method,EMI will be payed from paytm
inform_pay_with_other_method,I'll do bank transfer for payment
inform_pay_with_other_method,I'll do digital transaction for payment
inform_payment_going_on,i'm making the payment now
inform_payment_going_on,payment is in process
inform_payment_going_on,i have initiated the payment
inform_payment_going_on,i'm paying the emi now
inform_payment_going_on,doing the payment right now
inform_payment_going_on,i was just making the payment now
inform_payment_going_on,yes payment is going on now
inform_payment_going_on,payment has been initiated now
inform_payment_going_on,yes just started the payment process
inform_payment_going_on,i am doing the payment
inform_payment_going_on,paying now
inform_payment_going_on,paying installment now
inform_payment_going_on,making the payment now
inform_payment_going_on,payment is going on
inform_payment_going_on,doing payment now
inform_payment_going_on,paying amount right now
inform_payment_going_on,doing now
inform_payment_going_on,transfering the money now
inform_payment_going_on,started the payment now
inform_payment_going_on,I'm paying the installment
inform_payment_going_on,I have started the payment process
inform_payment_going_on,paying EMI now
inform_payment_going_on,yes paying now
inform_payment_going_on,doing the payment now
inform_payment_going_on,just transferring the amount now
inform_payment_going_on,yes i'm paying now
inform_payment_going_on,i have initiated the money transfer
inform_payment_going_on,just started the payment
inform_payment_going_on,I'm processing the payment
inform_payment_going_on,Payment is going on
inform_payment_going_on,I'm doing the payment now
inform_payment_going_on,I'll process the pament right away
inform_payment_going_on,Payment process is going on
inform_payment_going_on,I'm almost done with the payment
inform_payment_going_on,I'm  going to complete the payment in sometime
inform_payment_going_on,EMI payment is in process
inform_payment_going_on,Payment process is under completion
inform_payment_going_on,Currently working on payment process
inform_payment_going_on,I'm clearing the payment now
inform_payment_going_on,"Payment is going on, it will be completed in sometime"
inform_payment_going_on,On going with the payment completion
inform_payment_going_on,Completion of payment will happen in sometime
inform_payment_going_on,Payment is to be finished in a while
inform_payment_going_on,Process of clearing the payment is going on
inform_payment_going_on,On going with the EMI payment
inform_payment_going_on,On going with the payment process
inform_payment_going_on,Will be getting the payment in sometime soon
inform_payment_going_on,Payment is going on you will get it soon
inform_payment_going_on,Process is happening it wil take a while
inform_payment_going_on,EMI payment is in progress
inform_payment_going_on,You will be recieving the payment in few minutes
inform_payment_going_on,Payment progress is happening
inform_payment_going_on,You will be getting the payment in sometine soon
inform_payment_going_on,EMI payment is being progress
inform_payment_going_on,EMI payment is on progress
inform_payment_going_on,On going with the payment process
inform_payment_going_on,you will recieve the amount soon
inform_payment_going_on,you will recive the payment in anytime today
inform_payment_going_on,Payment is progressing you will be getting in some time
inform_payment_going_on,Payment is in processing stage
inform_payment_going_on,PAyment wil be paid in sometime
inform_issue_in_payment,I'm getting error while making the payment
inform_issue_in_payment,unable to complete the payment
inform_issue_in_payment,getting page not found error
inform_issue_in_payment,the payment link has expired
inform_issue_in_payment,payment page is crashing while making payment
inform_issue_in_payment,Did not get OTP after entering details
inform_issue_in_payment,the payment method is not getting accepted
inform_issue_in_payment,incorrect link received
inform_issue_in_payment,"even after entering all details correctly,it says wrong information entered"
inform_issue_in_payment,made the payment.still showing processing
inform_issue_in_payment,the site is not compatible with my browser
inform_issue_in_payment,no payment confirmation received
inform_issue_in_payment,i keep getting Wallet payment failure
inform_issue_in_payment,the payment website is down
inform_issue_in_payment,payment failed
inform_issue_in_payment,bank server is down
inform_issue_in_payment,money was deducted but got pop up saying payment failed
inform_issue_in_payment,"after adding my customer id , it says record not found"
inform_issue_in_payment,payment page is not loading
inform_issue_in_payment,page becomes unresponsive after entering payment details
inform_issue_in_payment,facing network issues
inform_issue_in_payment,payment link is not working
inform_issue_in_payment,payment page keeps hanging
inform_issue_in_payment,payment page is not responding
inform_issue_in_payment,unable to link paytm wallet
inform_issue_in_payment,payment processing failed
inform_issue_in_payment,forgot password and could not reset it
inform_issue_in_payment, this link is not working
inform_issue_in_payment,it keeps saying unable to process your request
inform_issue_in_payment,i don't have proper network
inform_issue_in_payment,I'm facing some issues in paying the EMI
inform_issue_in_payment,Payment is getting declined
inform_issue_in_payment,Not able to make the payment with the link sent by you
inform_issue_in_payment,Something is wrong with the link
inform_issue_in_payment,Unable to make the payment
inform_issue_in_payment,Some issue in auto_debit payment
inform_issue_in_payment,Unable to open the link sent
inform_issue_in_payment,It showing payment failed
inform_issue_in_payment,It is showing server down
inform_issue_in_payment,Some issue with bank server 
inform_issue_in_payment,Having some issue in the account
inform_issue_in_payment,Payment got declined
inform_issue_in_payment,I have done with the payment but not getting reflected
inform_issue_in_payment,Not able to complete the transaction
inform_issue_in_payment,i'm not able to open the link
inform_issue_in_payment,Payment link is not working
inform_issue_in_payment,I'm not able to proceed with the payment confirmation
inform_issue_in_payment,Payment is rejected
inform_issue_in_payment,Facing some link issues
inform_issue_in_payment,Link is not directing for the payment
inform_issue_in_payment,Payment is not happening
inform_issue_in_payment,I'm not able to complete the payment
inform_issue_in_payment,Some issue with the network
inform_issue_in_payment,I'm facing payment issues
inform_issue_in_payment,Not able to clear the payment from the given link
inform_issue_in_payment,Given link is not working properly
inform_issue_in_payment,Bank server is down today causing payment delay
inform_issue_in_payment,Showing error if I click the link
inform_issue_in_payment,Link is not directing to the payment page
inform_issue_in_payment,Not getting the OTP to my number
inform_issue_in_payment,Payment process is failed
inform_issue_in_payment,Page is getting hanged during the process of payment
inform_issue_in_payment,Have some issues in the link
agree_to_proceed,Yes tell me
agree_to_proceed,Do tell
agree_to_proceed,"Yes, I can talk now. "
agree_to_proceed,I can talk
agree_to_proceed,Speak
agree_to_proceed,You tell me
agree_to_proceed,Tell us more
agree_to_proceed,Please continue speaking
agree_to_proceed,Please keep explaining
agree_to_proceed,"Sure, continue!"
agree_to_proceed,I can talk to you now.
agree_to_proceed,"Yes, this is a good time to discuss"
agree_to_proceed,You tell I'm listening
agree_to_proceed,Tell 
agree_to_proceed,"I'm listening to you, tell"
agree_to_proceed,"Tell me, I am paying attention."
agree_to_proceed,Tell me what you were saying.
agree_to_proceed,You can speak
agree_to_proceed,"I can hear now, you say."
agree_to_proceed,Yes tell further
agree_to_proceed,"I am understanding, you keep talking"
agree_to_proceed,I can talk at the moment
agree_to_proceed,"Yes, well, speak"
agree_to_proceed,Tell me your voice is coming clear
agree_to_proceed,"I can understand the voice, you tell"
agree_to_proceed,Say what to tell
agree_to_proceed,It was done. tell further
agree_to_proceed,"I understand your point, you tell us further."
agree_to_proceed,"What else you wanted to tell, tell that"
agree_to_proceed,Yes you speak
agree_to_proceed,"I'm able to hear, you can tell further"
agree_to_proceed,"Yes, tell me more about it."
agree_to_proceed,Okay. next?
agree_to_proceed,"yes, you may."
agree_to_proceed,"yes, tell me now"
agree_to_proceed,Explain further
agree_to_proceed,You can tell
agree_to_proceed,Tell ahead
disagree_to_proceed,I am busy right now
disagree_to_proceed,don't wanna talk
disagree_to_proceed,I can't talk right now
disagree_to_proceed,Don't disturb me
disagree_to_proceed,Won't be able to talk right now
disagree_to_proceed,We don't want  to listen now
disagree_to_proceed,Now is not the right time to talk
disagree_to_proceed,I won't understand because I'm busy
disagree_to_proceed,You don't tell now because I don't have time
disagree_to_proceed,At this time I can't talk
disagree_to_proceed,Just won't talk
disagree_to_proceed,Can't talk right now
disagree_to_proceed,I won't talk right now
disagree_to_proceed,I don't want to understand right now
disagree_to_proceed,We're busy so won't be able to talk
disagree_to_proceed,I don't want to talk
disagree_to_proceed,I don't want to hear anything right now
disagree_to_proceed,Don't tell now
disagree_to_proceed,"Don't bother right now, I'm busy"
disagree_to_proceed,Don't tell any further
disagree_to_proceed,Can't talk
disagree_to_proceed,Can't talk now
disagree_to_proceed,I just won't talk to anyone
disagree_to_proceed,We don't want to listen further
disagree_to_proceed,Don't want to listen now
disagree_to_proceed,I'm not talking
disagree_to_proceed,It's hard to talk at the moment
disagree_to_proceed,I am busy 
disagree_to_proceed,"No,won't talk right now"
disagree_to_proceed,"No,can't talk right now"
disagree_to_proceed,Don't want to know at the moment
disagree_to_proceed,Don't want to talk further
disagree_to_proceed,Can't talk on call now
disagree_to_proceed,Do not want to know further
disagree_to_proceed,Don't tell now 
disagree_to_proceed,I'm busy
disagree_to_proceed,I'm busy so i disagree to continue
disagree_to_proceed,i don't want to proceed with this call
agree_to_pay,We will pay it
agree_to_pay,I remember to pay . I will
agree_to_pay,I will pay according to my time
agree_to_pay,I will remember to pay
agree_to_pay,Yes i will pay
agree_to_pay,yes i want to pay
agree_to_pay,I will pay on time
agree_to_pay,I Have to pay. i will pay
agree_to_pay,will be done
agree_to_pay,I will pay before time
agree_to_pay,I will pay.
agree_to_pay,"Give me sometime, I will pay."
agree_to_pay,It will be done 
agree_to_pay, Will do the payment
agree_to_pay,"Yes, i will pay it"
agree_to_pay,I will pay according to the dates
agree_to_pay,Will pay before the dates
agree_to_pay,I am ready to do the payment
agree_to_pay,We have to pay.
agree_to_pay,I want to pay
agree_to_pay,"Yes, I am ready to pay"
agree_to_pay,If you want i can pay now
agree_to_pay,I can pay immediately
agree_to_pay,Will pay
agree_to_pay,I want to pay now
agree_to_pay,"I will pay, whenever possible"
agree_to_pay,I want to pay for it
agree_to_pay,"Yes, I can pay "
agree_to_pay,I will pay
agree_to_pay,sure I will pay
agree_to_pay,i'll remember to pay
agree_to_pay,I said I will pay
agree_to_pay,I know I have to pay and I will
agree_to_pay,yes I will pay the emi
agree_to_pay,I'll remember to pay the EMI
agree_to_pay,I will pay
agree_to_pay,yes I would pay the EMI
agree_to_pay,"yes, I will pay"
agree_to_pay,I can pay
agree_to_pay,i'll pay right away
agree_to_pay,I will pay before time
agree_to_pay,"sure, will pay"
agree_to_pay,i know the date is nearing. I will pay.
agree_to_pay,"okay, I will pay the EMI"
agree_to_pay,i'll pay in accordance to the last date
agree_to_pay,I will make sure to pay
agree_to_pay,Definitely. I will pay
disagree_to_pay,"No, I cannot pay today"
disagree_to_pay,I cannot pay today
disagree_to_pay,This will not be paid
disagree_to_pay,I cannot pay now
disagree_to_pay,Cannot pay
disagree_to_pay,Will not pay now
disagree_to_pay,"No, i don't want to pay"
disagree_to_pay,Will not be able to pay on the future date
disagree_to_pay,We will not be able to pay this time
disagree_to_pay,Do not have to pay
disagree_to_pay,I disagree to pay
disagree_to_pay,Will not be able to pay this time due to issues
disagree_to_pay,Cannot pay
disagree_to_pay,I will not pay
disagree_to_pay,"I will pay together second time, now I can't"
disagree_to_pay,Cannot pay right now
disagree_to_pay,This payment cannot be done
disagree_to_pay,I cannot pay
disagree_to_pay,"If I would have been able to pay i would, but this time i can't"
disagree_to_pay,I cannot pay due to reasons
disagree_to_pay,I will do it some other time but not now
disagree_to_pay,Will not be able to pay this payment amount
disagree_to_pay,"Please understand, cannot pay"
disagree_to_pay,No money to pay
disagree_to_pay,Payment cannot be done
disagree_to_pay,I don't want to pay
disagree_to_pay,Will not do
disagree_to_pay,"Will pay it some another time, but not now"
disagree_to_pay,wont be able to pay
disagree_to_pay,Cannot pay you  by any means
disagree_to_pay,I can't pay
disagree_to_pay,i won't pay now
disagree_to_pay,I won't be able to make payments
disagree_to_pay,I will not be able to pay this time
disagree_to_pay,I don't think i can pay the emi
disagree_to_pay,I am not willing to pay EMI
disagree_to_pay,I do not want to pay
disagree_to_pay,i will not pay the emi this month
disagree_to_pay,I won't pay the EMI
disagree_to_pay,I do not intend to pay the EMI
